UserID,total_payments,first_payment_date,last_payment_date,first_payment_amount,last_payment_amount
1,22,2022-08-11,2024-05-02,9.99,9.99
2,21,2022-09-07,2024-04-29,19.99,19.99
3,4,2022-05-27,2022-08-25,9.99,9.99
4,1,2022-04-06,2022-04-06,9.99,9.99
5,2,2022-09-14,2022-10-14,15.99,15.99
6,8,2022-11-21,2023-06-19,19.99,19.99
7,15,2022-01-04,2023-02-28,15.99,15.99
8,5,2022-01-16,2022-05-16,15.99,15.99
9,7,2022-10-07,2023-04-05,19.99,19.99
10,8,2022-12-02,2023-06-30,19.99,19.99
11,7,2022-09-04,2023-03-03,19.99,19.99
12,14,2022-09-15,2023-10-10,9.99,9.99
13,18,2022-06-09,2023-11-01,15.99,15.99
14,4,2022-12-06,2023-03-06,15.99,15.99
15,18,2022-06-01,2023-10-24,9.99,9.99
16,7,2022-06-27,2022-12-24,15.99,15.99
17,5,2022-06-12,2022-10-10,19.99,19.99
18,12,2022-02-02,2022-12-29,19.99,19.99
19,15,2022-06-28,2023-08-22,15.99,15.99
20,20,2022-04-11,2023-11-02,19.99,19.99
21,16,2022-09-25,2023-12-19,19.99,19.99
22,8,2022-11-19,2023-06-17,19.99,19.99
23,23,2022-03-06,2023-12-26,19.99,19.99
24,23,2022-06-17,2024-04-07,9.99,9.99
25,7,2022-11-26,2023-05-25,15.99,15.99
26,2,2022-02-12,2022-03-14,15.99,15.99
27,19,2022-02-13,2023-08-07,15.99,15.99
28,9,2022-10-12,2023-06-09,19.99,19.99
29,18,2022-01-12,2023-06-06,9.99,9.99
30,16,2022-04-05,2023-06-29,9.99,9.99
31,10,2022-10-29,2023-07-26,9.99,9.99
32,20,2022-09-10,2024-04-02,15.99,15.99
33,12,2022-08-30,2023-07-26,9.99,9.99
34,19,2022-02-04,2023-07-29,19.99,19.99
35,23,2022-08-03,2024-05-24,19.99,19.99
36,16,2022-12-03,2024-02-26,19.99,19.99
37,8,2022-03-31,2022-10-27,15.99,15.99
38,4,2022-09-21,2022-12-20,19.99,19.99
39,19,2022-04-03,2023-09-25,19.99,19.99
40,21,2022-03-31,2023-11-21,19.99,19.99
41,15,2022-04-25,2023-06-19,15.99,15.99
42,1,2022-04-15,2022-04-15,15.99,15.99
43,19,2022-07-15,2024-01-06,15.99,15.99
44,22,2022-11-10,2024-08-01,19.99,19.99
45,5,2022-04-24,2022-08-22,9.99,9.99
46,18,2022-03-16,2023-08-08,19.99,19.99
47,16,2022-08-05,2023-10-29,15.99,15.99
48,12,2022-10-04,2023-08-30,15.99,15.99
49,6,2022-09-06,2023-02-03,19.99,19.99
50,8,2022-06-13,2023-01-09,9.99,9.99
51,2,2022-12-23,2023-01-22,9.99,9.99
52,15,2022-07-11,2023-09-04,15.99,15.99
