UserID,total_interactions,number_helprqs,number_contentviews,first_contentviewdate,last_contentviewdate,first_helprqsdate,last_helprqsdate,number_views_genreAction,number_views_genreComedy,number_views_genreDocumentary,number_views_genreDrama,number_views_genreHorror,number_views_genreRomance,number_views_genreThriller
1,16,9,7,2022-11-16,2023-06-16,2022-08-21,2023-06-01,1,1,1,1,1,0,2
2,5,4,1,2023-09-06,2023-09-06,2023-04-21,2023-08-09,0,1,0,0,0,0,0
3,13,5,8,2022-06-07,2023-04-21,2022-09-05,2023-01-10,2,0,0,2,1,1,2
4,21,10,11,2022-06-26,2023-03-06,2022-04-30,2023-04-05,0,2,0,0,4,4,1
5,17,7,10,2022-09-17,2023-07-28,2022-10-12,2023-03-17,1,1,2,2,0,1,3
6,14,8,6,2023-02-01,2023-09-09,2022-12-01,2023-11-14,0,1,0,2,1,0,2
7,17,7,10,2022-02-26,2022-11-29,2022-01-23,2022-11-12,4,1,0,0,3,1,1
8,17,7,10,2022-02-13,2022-12-09,2022-02-21,2023-01-07,2,0,2,0,2,2,2
9,23,7,16,2022-11-15,2023-10-04,2022-10-23,2023-07-28,2,2,2,2,2,2,4
10,28,14,14,2022-12-08,2023-12-01,2022-12-18,2023-11-18,2,3,2,2,1,3,1
11,16,9,7,2022-09-11,2023-08-26,2022-09-15,2023-07-03,1,0,2,1,0,0,3
12,7,5,2,2022-10-30,2023-04-30,2023-01-09,2023-07-30,0,0,0,1,0,1,0
13,28,15,13,2022-07-10,2023-04-21,2022-06-17,2023-05-27,2,2,2,2,1,2,2
14,16,8,8,2022-12-08,2023-10-19,2023-05-27,2023-10-19,2,1,2,1,1,0,1
15,27,13,14,2022-07-10,2023-04-28,2022-06-08,2023-05-01,2,6,2,1,2,1,0
16,20,10,10,2022-06-28,2023-06-22,2022-07-10,2023-05-24,1,0,1,1,2,2,3
17,15,6,9,2022-06-12,2023-03-22,2022-10-09,2023-05-11,2,0,1,2,0,2,2
18,14,8,6,2022-06-07,2023-01-08,2022-02-09,2023-01-03,1,1,2,0,2,0,0
19,12,5,7,2022-09-11,2023-06-20,2022-10-19,2023-04-25,1,2,0,2,2,0,0
20,18,8,10,2022-06-12,2023-03-07,2022-04-29,2023-02-28,1,1,0,4,0,1,3
21,11,6,5,2023-01-19,2023-08-06,2023-01-04,2023-08-20,1,1,0,1,0,1,1
22,29,12,17,2022-11-20,2023-11-17,2022-12-24,2023-10-29,3,3,2,1,4,1,3
23,17,5,12,2022-03-14,2023-03-02,2022-03-24,2023-02-13,1,5,2,0,2,2,0
24,25,13,12,2022-09-02,2023-06-04,2022-06-21,2023-05-05,1,2,2,2,2,2,1
25,22,14,8,2022-12-07,2023-11-08,2022-11-28,2023-11-20,0,2,1,1,2,1,1
26,16,6,10,2022-06-05,2023-02-07,2022-03-21,2022-12-19,0,3,3,1,1,2,0
27,14,9,5,2022-02-24,2022-11-20,2022-03-09,2023-01-25,1,0,0,1,2,1,0
28,18,8,10,2022-11-05,2023-07-25,2022-10-23,2023-09-12,2,1,3,0,2,0,2
29,13,5,8,2022-03-15,2022-11-15,2022-05-15,2022-10-01,2,0,5,1,0,0,0
30,11,5,6,2022-04-18,2022-12-02,2022-09-06,2023-02-12,0,1,0,0,0,1,4
31,9,5,4,2023-04-10,2023-06-17,2022-12-19,2023-09-01,1,1,0,1,1,0,0
32,24,6,18,2022-10-07,2023-05-31,2022-11-08,2023-08-27,2,4,2,2,2,2,4
33,10,6,4,2022-12-12,2023-08-24,2022-10-17,2023-07-19,0,0,1,2,1,0,0
34,16,9,7,2022-08-05,2022-11-18,2022-05-27,2023-01-16,0,2,0,1,3,1,0
35,22,10,12,2022-08-21,2023-07-16,2022-10-27,2023-05-31,2,1,2,0,1,2,4
36,9,3,6,2022-12-05,2023-11-21,2023-01-25,2023-03-02,1,1,1,1,0,1,1
37,21,11,10,2022-04-03,2023-03-24,2022-04-02,2023-02-03,1,2,3,0,1,2,1
38,6,4,2,2022-11-19,2023-02-19,2023-02-25,2023-08-05,0,0,1,1,0,0,0
39,10,3,7,2022-07-24,2022-12-09,2022-10-17,2023-02-09,1,0,3,1,1,0,1
40,24,10,14,2022-05-18,2023-03-30,2022-05-04,2023-03-29,2,2,3,0,1,3,3
41,28,15,13,2022-05-30,2023-04-22,2022-05-01,2023-04-23,0,4,2,1,1,2,3
42,14,10,4,2022-05-27,2023-03-21,2022-05-06,2023-03-10,0,1,0,1,1,0,1
43,23,13,10,2022-08-15,2023-04-19,2022-08-03,2023-05-04,3,1,0,1,0,2,3
44,12,7,5,2022-11-17,2023-11-09,2023-02-02,2023-09-21,1,0,1,0,2,1,0
45,20,9,11,2022-05-05,2022-12-25,2022-05-14,2023-04-22,0,0,3,2,2,1,3
46,7,5,2,2022-04-18,2022-09-21,2022-05-30,2022-12-26,1,0,0,0,0,0,1
47,19,9,10,2022-09-20,2023-05-02,2022-12-24,2023-07-13,1,0,2,0,2,2,3
48,16,9,7,2022-11-07,2023-09-02,2022-11-18,2023-09-12,2,0,2,1,1,1,0
49,24,7,17,2022-10-25,2023-09-01,2022-10-16,2023-08-05,3,0,3,4,2,4,1
50,6,4,2,2022-07-29,2023-04-09,2022-08-16,2023-05-10,0,0,0,1,1,0,0
51,23,13,10,2023-03-08,2023-12-19,2023-01-17,2023-12-12,2,0,2,2,2,0,2
52,10,5,5,2022-10-24,2023-06-19,2022-08-22,2023-06-28,1,0,0,1,0,1,2
53,11,4,7,2022-09-28,2023-04-21,2022-09-02,2022-12-19,0,0,2,1,1,1,2
54,18,8,10,2022-07-23,2023-04-28,2022-10-08,2023-06-03,1,0,2,2,2,1,2
