UserID,InteractionDate,InteractionType,ContentGenre
1,2023-04-04,Content View,Thriller
1,2023-01-30,Content View,Comedy
1,2023-02-16,Help Request,
1,2022-09-25,Help Request,
1,2022-12-18,Help Request,
1,2023-06-16,Content View,Drama
1,2023-06-13,Content View,Documentary
1,2023-05-19,Content View,Thriller
1,2023-05-04,Help Request,
1,2022-08-21,Help Request,
1,2023-01-21,Content View,Action
1,2023-06-01,Help Request,
1,2023-03-25,Help Request,
1,2022-11-16,Content View,Horror
1,2023-01-09,Help Request,
1,2022-10-18,Help Request,
2,2023-05-14,Help Request,
2,2023-05-03,Help Request,
2,2023-04-21,Help Request,
2,2023-08-09,Help Request,
2,2023-09-06,Content View,Comedy
3,2022-10-27,Help Request,
3,2022-08-07,Content View,Drama
3,2022-10-02,Content View,Thriller
3,2022-09-07,Help Request,
3,2022-06-20,Content View,Action
3,2022-10-04,Help Request,
3,2023-01-10,Help Request,
3,2022-11-14,Content View,Romance
3,2022-09-05,Help Request,
3,2022-06-07,Content View,Thriller
3,2022-07-09,Content View,Action
3,2023-03-27,Content View,Drama
3,2023-04-21,Content View,Horror
4,2023-02-02,Help Request,
4,2023-02-17,Help Request,
4,2022-11-07,Content View,Horror
4,2022-09-01,Content View,Horror
4,2022-10-20,Help Request,
4,2022-04-30,Help Request,
4,2022-07-03,Help Request,
4,2022-08-26,Content View,Comedy
4,2023-04-05,Help Request,
4,2022-05-22,Help Request,
4,2022-12-27,Help Request,
4,2022-10-21,Content View,Horror
4,2023-01-12,Content View,Romance
4,2022-12-11,Content View,Romance
4,2023-03-06,Content View,Horror
4,2022-08-20,Content View,Comedy
4,2023-02-14,Content View,Thriller
4,2022-06-26,Content View,Romance
4,2022-07-17,Content View,Romance
4,2022-09-11,Help Request,
4,2022-07-22,Help Request,
5,2022-12-20,Content View,Thriller
5,2023-03-03,Help Request,
5,2023-03-15,Content View,Documentary
5,2022-10-22,Content View,Drama
5,2022-09-17,Content View,Romance
5,2023-04-11,Content View,Thriller
5,2022-12-30,Help Request,
5,2023-07-21,Content View,Comedy
5,2022-10-17,Help Request,
5,2023-05-22,Content View,Thriller
5,2023-02-01,Help Request,
5,2022-12-18,Content View,Action
5,2022-10-22,Help Request,
5,2022-10-12,Help Request,
5,2023-07-28,Content View,Documentary
5,2023-03-17,Help Request,
5,2023-05-07,Content View,Drama
6,2023-11-14,Help Request,
6,2023-01-24,Help Request,
6,2023-05-16,Content View,Thriller
6,2023-04-11,Help Request,
6,2023-04-27,Help Request,
6,2023-10-10,Help Request,
6,2023-09-09,Content View,Drama
6,2023-02-01,Content View,Drama
6,2023-10-30,Help Request,
6,2023-04-09,Content View,Comedy
6,2023-09-09,Content View,Thriller
6,2023-06-06,Content View,Horror
6,2023-09-18,Help Request,
6,2022-12-01,Help Request,
7,2022-08-17,Content View,Horror
7,2022-02-24,Help Request,
7,2022-03-03,Help Request,
7,2022-05-31,Content View,Horror
7,2022-11-09,Content View,Action
7,2022-11-29,Content View,Comedy
7,2022-11-12,Help Request,
7,2022-09-01,Help Request,
7,2022-09-19,Help Request,
7,2022-09-22,Content View,Thriller
7,2022-02-26,Content View,Horror
7,2022-06-29,Content View,Action
7,2022-01-23,Help Request,
7,2022-09-01,Content View,Action
7,2022-06-30,Help Request,
7,2022-03-06,Content View,Action
7,2022-06-12,Content View,Romance
8,2022-05-15,Content View,Horror
8,2022-04-14,Content View,Documentary
8,2023-01-07,Help Request,
8,2022-10-09,Content View,Action
8,2022-05-18,Help Request,
8,2022-02-13,Content View,Action
8,2022-08-29,Help Request,
8,2022-07-04,Content View,Horror
8,2022-02-24,Content View,Thriller
8,2022-08-29,Help Request,
8,2022-05-19,Content View,Romance
8,2022-12-09,Content View,Thriller
8,2022-07-10,Help Request,
8,2022-02-21,Help Request,
8,2022-07-10,Content View,Documentary
8,2022-04-06,Help Request,
8,2022-02-24,Content View,Romance
9,2023-04-10,Content View,Comedy
9,2022-11-15,Content View,Thriller
9,2023-05-31,Content View,Romance
9,2023-05-10,Content View,Documentary
9,2023-09-24,Content View,Action
9,2023-08-06,Content View,Thriller
9,2023-10-04,Content View,Drama
9,2023-04-05,Help Request,
9,2023-09-27,Content View,Action
9,2023-04-12,Content View,Thriller
9,2023-05-29,Content View,Comedy
9,2023-06-12,Content View,Horror
9,2022-10-29,Help Request,
9,2023-03-15,Content View,Thriller
9,2023-03-13,Content View,Horror
9,2022-12-27,Help Request,
9,2023-06-21,Help Request,
9,2022-12-22,Content View,Documentary
9,2023-07-28,Help Request,
9,2023-05-18,Content View,Romance
9,2023-03-10,Content View,Drama
9,2022-10-23,Help Request,
9,2023-05-17,Help Request,
10,2023-12-01,Content View,Romance
10,2023-02-13,Content View,Comedy
10,2023-10-16,Help Request,
10,2023-01-30,Content View,Romance
10,2023-01-07,Content View,Romance
10,2023-06-15,Help Request,
10,2023-11-18,Help Request,
10,2023-07-31,Help Request,
10,2023-07-08,Help Request,
10,2022-12-18,Help Request,
10,2023-06-12,Help Request,
10,2023-03-31,Content View,Comedy
10,2023-10-03,Help Request,
10,2023-06-11,Content View,Thriller
10,2023-06-23,Help Request,
10,2023-08-09,Content View,Documentary
10,2022-12-08,Content View,Action
10,2023-01-03,Help Request,
10,2023-02-18,Help Request,
10,2023-01-28,Content View,Comedy
10,2023-07-15,Content View,Documentary
10,2023-03-10,Content View,Drama
10,2023-01-09,Content View,Horror
10,2023-09-12,Content View,Action
10,2023-09-15,Help Request,
10,2023-05-25,Help Request,
10,2023-02-23,Help Request,
10,2022-12-28,Content View,Drama
11,2022-12-04,Content View,Thriller
11,2023-07-03,Help Request,
11,2023-08-26,Content View,Documentary
11,2023-05-23,Content View,Drama
11,2023-05-18,Help Request,
11,2022-09-18,Help Request,
11,2023-02-13,Help Request,
11,2023-06-11,Help Request,
11,2022-09-15,Help Request,
11,2023-06-01,Help Request,
11,2023-03-30,Content View,Documentary
11,2023-01-26,Content View,Thriller
11,2022-09-11,Content View,Action
11,2023-02-24,Help Request,
11,2023-03-21,Content View,Thriller
11,2023-03-03,Help Request,
12,2022-10-30,Content View,Drama
12,2023-04-24,Help Request,
12,2023-06-14,Help Request,
12,2023-05-08,Help Request,
12,2023-04-30,Content View,Romance
12,2023-07-30,Help Request,
12,2023-01-09,Help Request,
13,2022-08-19,Content View,Thriller
13,2023-01-03,Help Request,
13,2023-03-12,Help Request,
13,2023-04-24,Help Request,
13,2022-09-11,Help Request,
13,2022-07-10,Content View,Thriller
13,2023-01-11,Content View,Documentary
13,2022-09-18,Content View,Action
13,2023-01-08,Content View,Drama
13,2022-08-23,Content View,Romance
13,2022-11-15,Content View,Romance
13,2022-09-02,Help Request,
13,2022-11-03,Content View,Comedy
13,2023-02-05,Help Request,
13,2023-05-27,Help Request,
13,2023-01-19,Content View,Drama
13,2022-08-24,Help Request,
13,2022-11-09,Help Request,
13,2022-09-19,Help Request,
13,2022-11-21,Content View,Comedy
13,2022-11-29,Help Request,
13,2022-10-29,Help Request,
13,2022-09-22,Content View,Documentary
13,2023-04-09,Help Request,
13,2023-04-21,Content View,Action
13,2022-06-17,Help Request,
13,2022-08-20,Content View,Horror
13,2022-07-19,Help Request,
14,2023-08-26,Help Request,
14,2023-06-01,Help Request,
14,2023-10-19,Help Request,
14,2023-10-19,Content View,Action
14,2022-12-12,Content View,Documentary
14,2023-07-01,Help Request,
14,2023-10-15,Help Request,
14,2022-12-08,Content View,Drama
14,2023-06-11,Help Request,
14,2022-12-19,Content View,Comedy
14,2022-12-17,Content View,Documentary
14,2022-12-30,Content View,Action
14,2023-04-06,Content View,Horror
14,2023-07-31,Help Request,
14,2023-05-27,Help Request,
14,2023-07-14,Content View,Thriller
15,2023-03-15,Content View,Documentary
15,2022-08-21,Help Request,
15,2022-12-28,Help Request,
15,2022-07-07,Help Request,
15,2023-04-08,Content View,Action
15,2022-10-09,Help Request,
15,2022-12-19,Content View,Action
15,2022-09-01,Help Request,
15,2022-12-24,Content View,Horror
15,2023-04-28,Content View,Romance
15,2022-12-30,Content View,Comedy
15,2022-06-24,Help Request,
15,2023-03-20,Help Request,
15,2023-01-06,Help Request,
15,2022-06-20,Help Request,
15,2022-10-30,Help Request,
15,2022-11-24,Content View,Drama
15,2023-02-05,Content View,Comedy
15,2023-01-14,Help Request,
15,2023-05-01,Help Request,
15,2023-02-17,Content View,Comedy
15,2023-01-29,Content View,Comedy
15,2023-02-01,Content View,Documentary
15,2022-10-09,Content View,Comedy
15,2022-07-10,Content View,Horror
15,2023-01-11,Content View,Comedy
15,2022-06-08,Help Request,
16,2022-09-21,Help Request,
16,2022-07-10,Help Request,
16,2022-06-28,Content View,Thriller
16,2023-05-17,Help Request,
16,2022-08-06,Help Request,
16,2023-05-08,Content View,Horror
16,2022-07-10,Help Request,
16,2023-02-12,Content View,Documentary
16,2022-11-03,Content View,Romance
16,2022-11-18,Content View,Drama
16,2022-07-24,Help Request,
16,2022-12-06,Content View,Thriller
16,2022-12-07,Content View,Horror
16,2023-04-25,Content View,Action
16,2022-07-06,Content View,Romance
16,2023-03-23,Help Request,
16,2022-09-27,Help Request,
16,2023-05-24,Help Request,
16,2023-06-22,Content View,Thriller
16,2023-03-29,Help Request,
17,2022-06-12,Content View,Romance
17,2023-03-22,Content View,Action
17,2022-12-03,Content View,Documentary
17,2022-11-23,Content View,Drama
17,2022-10-09,Help Request,
17,2023-04-19,Help Request,
17,2023-01-04,Help Request,
