UserID,PaymentDate,PaymentAmount
1,2022-08-11,9.99
1,2022-09-10,9.99
1,2022-10-10,9.99
1,2022-11-09,9.99
1,2022-12-09,9.99
1,2023-01-08,9.99
1,2023-02-07,9.99
1,2023-03-09,9.99
1,2023-04-08,9.99
1,2023-05-08,9.99
1,2023-06-07,9.99
1,2023-07-07,9.99
1,2023-08-06,9.99
1,2023-09-05,9.99
1,2023-10-05,9.99
1,2023-11-04,9.99
1,2023-12-04,9.99
1,2024-01-03,9.99
1,2024-02-02,9.99
1,2024-03-03,9.99
1,2024-04-02,9.99
1,2024-05-02,9.99
2,2022-09-07,19.99
2,2022-10-07,19.99
2,2022-11-06,19.99
2,2022-12-06,19.99
2,2023-01-05,19.99
2,2023-02-04,19.99
2,2023-03-06,19.99
2,2023-04-05,19.99
2,2023-05-05,19.99
2,2023-06-04,19.99
2,2023-07-04,19.99
2,2023-08-03,19.99
2,2023-09-02,19.99
2,2023-10-02,19.99
2,2023-11-01,19.99
2,2023-12-01,19.99
2,2023-12-31,19.99
2,2024-01-30,19.99
2,2024-02-29,19.99
2,2024-03-30,19.99
2,2024-04-29,19.99
3,2022-05-27,9.99
3,2022-06-26,9.99
3,2022-07-26,9.99
3,2022-08-25,9.99
4,2022-04-06,9.99
5,2022-09-14,15.99
5,2022-10-14,15.99
6,2022-11-21,19.99
6,2022-12-21,19.99
6,2023-01-20,19.99
6,2023-02-19,19.99
6,2023-03-21,19.99
6,2023-04-20,19.99
6,2023-05-20,19.99
6,2023-06-19,19.99
7,2022-01-04,15.99
7,2022-02-03,15.99
7,2022-03-05,15.99
7,2022-04-04,15.99
7,2022-05-04,15.99
7,2022-06-03,15.99
7,2022-07-03,15.99
7,2022-08-02,15.99
7,2022-09-01,15.99
7,2022-10-01,15.99
7,2022-10-31,15.99
7,2022-11-30,15.99
7,2022-12-30,15.99
7,2023-01-29,15.99
7,2023-02-28,15.99
8,2022-01-16,15.99
8,2022-02-15,15.99
8,2022-03-17,15.99
8,2022-04-16,15.99
8,2022-05-16,15.99
9,2022-10-07,19.99
9,2022-11-06,19.99
9,2022-12-06,19.99
9,2023-01-05,19.99
9,2023-02-04,19.99
9,2023-03-06,19.99
9,2023-04-05,19.99
10,2022-12-02,19.99
10,2023-01-01,19.99
10,2023-01-31,19.99
10,2023-03-02,19.99
10,2023-04-01,19.99
10,2023-05-01,19.99
10,2023-05-31,19.99
10,2023-06-30,19.99
11,2022-09-04,19.99
11,2022-10-04,19.99
11,2022-11-03,19.99
11,2022-12-03,19.99
11,2023-01-02,19.99
11,2023-02-01,19.99
11,2023-03-03,19.99
12,2022-09-15,9.99
12,2022-10-15,9.99
12,2022-11-14,9.99
12,2022-12-14,9.99
12,2023-01-13,9.99
12,2023-02-12,9.99
12,2023-03-14,9.99
12,2023-04-13,9.99
12,2023-05-13,9.99
12,2023-06-12,9.99
12,2023-07-12,9.99
12,2023-08-11,9.99
12,2023-09-10,9.99
12,2023-10-10,9.99
13,2022-06-09,15.99
13,2022-07-09,15.99
13,2022-08-08,15.99
13,2022-09-07,15.99
13,2022-10-07,15.99
13,2022-11-06,15.99
13,2022-12-06,15.99
13,2023-01-05,15.99
13,2023-02-04,15.99
13,2023-03-06,15.99
13,2023-04-05,15.99
13,2023-05-05,15.99
13,2023-06-04,15.99
13,2023-07-04,15.99
13,2023-08-03,15.99
13,2023-09-02,15.99
13,2023-10-02,15.99
13,2023-11-01,15.99
14,2022-12-06,15.99
14,2023-01-05,15.99
14,2023-02-04,15.99
14,2023-03-06,15.99
15,2022-06-01,9.99
15,2022-07-01,9.99
15,2022-07-31,9.99
15,2022-08-30,9.99
15,2022-09-29,9.99
15,2022-10-29,9.99
15,2022-11-28,9.99
15,2022-12-28,9.99
15,2023-01-27,9.99
15,2023-02-26,9.99
15,2023-03-28,9.99
15,2023-04-27,9.99
15,2023-05-27,9.99
15,2023-06-26,9.99
15,2023-07-26,9.99
15,2023-08-25,9.99
15,2023-09-24,9.99
15,2023-10-24,9.99
16,2022-06-27,15.99
16,2022-07-27,15.99
16,2022-08-26,15.99
16,2022-09-25,15.99
16,2022-10-25,15.99
16,2022-11-24,15.99
16,2022-12-24,15.99
17,2022-06-12,19.99
17,2022-07-12,19.99
17,2022-08-11,19.99
17,2022-09-10,19.99
17,2022-10-10,19.99
18,2022-02-02,19.99
18,2022-03-04,19.99
18,2022-04-03,19.99
18,2022-05-03,19.99
18,2022-06-02,19.99
18,2022-07-02,19.99
18,2022-08-01,19.99
18,2022-08-31,19.99
18,2022-09-30,19.99
18,2022-10-30,19.99
18,2022-11-29,19.99
18,2022-12-29,19.99
19,2022-06-28,15.99
19,2022-07-28,15.99
19,2022-08-27,15.99
19,2022-09-26,15.99
19,2022-10-26,15.99
19,2022-11-25,15.99
19,2022-12-25,15.99
19,2023-01-24,15.99
19,2023-02-23,15.99
19,2023-03-25,15.99
19,2023-04-24,15.99
19,2023-05-24,15.99
19,2023-06-23,15.99
19,2023-07-23,15.99
19,2023-08-22,15.99
20,2022-04-11,19.99
20,2022-05-11,19.99
20,2022-06-10,19.99
20,2022-07-10,19.99
20,2022-08-09,19.99
20,2022-09-08,19.99
20,2022-10-08,19.99
20,2022-11-07,19.99
20,2022-12-07,19.99
20,2023-01-06,19.99
20,2023-02-05,19.99
20,2023-03-07,19.99
20,2023-04-06,19.99
20,2023-05-06,19.99
20,2023-06-05,19.99
20,2023-07-05,19.99
20,2023-08-04,19.99
20,2023-09-03,19.99
20,2023-10-03,19.99
20,2023-11-02,19.99
21,2022-09-25,19.99
21,2022-10-25,19.99
21,2022-11-24,19.99
21,2022-12-24,19.99
21,2023-01-23,19.99
21,2023-02-22,19.99
21,2023-03-24,19.99
21,2023-04-23,19.99
21,2023-05-23,19.99
21,2023-06-22,19.99
21,2023-07-22,19.99
21,2023-08-21,19.99
21,2023-09-20,19.99
21,2023-10-20,19.99
21,2023-11-19,19.99
21,2023-12-19,19.99
22,2022-11-19,19.99
22,2022-12-19,19.99
22,2023-01-18,19.99
22,2023-02-17,19.99
22,2023-03-19,19.99
22,2023-04-18,19.99
22,2023-05-18,19.99
22,2023-06-17,19.99
23,2022-03-06,19.99
23,2022-04-05,19.99
23,2022-05-05,19.99
23,2022-06-04,19.99
23,2022-07-04,19.99
23,2022-08-03,19.99
23,2022-09-02,19.99
23,2022-10-02,19.99
23,2022-11-01,19.99
23,2022-12-01,19.99
23,2022-12-31,19.99
23,2023-01-30,19.99
23,2023-03-01,19.99
23,2023-03-31,19.99
23,2023-04-30,19.99
23,2023-05-30,19.99
23,2023-06-29,19.99
23,2023-07-29,19.99
23,2023-08-28,19.99
23,2023-09-27,19.99
23,2023-10-27,19.99
23,2023-11-26,19.99
23,2023-12-26,19.99
24,2022-06-17,9.99
24,2022-07-17,9.99
24,2022-08-16,9.99
24,2022-09-15,9.99
24,2022-10-15,9.99
24,2022-11-14,9.99
24,2022-12-14,9.99
24,2023-01-13,9.99
24,2023-02-12,9.99
24,2023-03-14,9.99
24,2023-04-13,9.99
24,2023-05-13,9.99
24,2023-06-12,9.99
24,2023-07-12,9.99
24,2023-08-11,9.99
24,2023-09-10,9.99
24,2023-10-10,9.99
24,2023-11-09,9.99
24,2023-12-09,9.99
24,2024-01-08,9.99
24,2024-02-07,9.99
24,2024-03-08,9.99
24,2024-04-07,9.99
25,2022-11-26,15.99
25,2022-12-26,15.99
25,2023-01-25,15.99
25,2023-02-24,15.99
25,2023-03-26,15.99
25,2023-04-25,15.99
25,2023-05-25,15.99
26,2022-02-12,15.99
26,2022-03-14,15.99
27,2022-02-13,15.99
27,2022-03-15,15.99
27,2022-04-14,15.99
27,2022-05-14,15.99
27,2022-06-13,15.99
27,2022-07-13,15.99
27,2022-08-12,15.99
27,2022-09-11,15.99
27,2022-10-11,15.99
27,2022-11-10,15.99
27,2022-12-10,15.99
27,2023-01-09,15.99
27,2023-02-08,15.99
27,2023-03-10,15.99
27,2023-04-09,15.99
27,2023-05-09,15.99
27,2023-06-08,15.99
27,2023-07-08,15.99
27,2023-08-07,15.99
28,2022-10-12,19.99
28,2022-11-11,19.99
28,2022-12-11,19.99
28,2023-01-10,19.99
28,2023-02-09,19.99
28,2023-03-11,19.99
28,2023-04-10,19.99
28,2023-05-10,19.99
28,2023-06-09,19.99
29,2022-01-12,9.99
29,2022-02-11,9.99
29,2022-03-13,9.99
29,2022-04-12,9.99
29,2022-05-12,9.99
29,2022-06-11,9.99
29,2022-07-11,9.99
29,2022-08-10,9.99
29,2022-09-09,9.99
29,2022-10-09,9.99
29,2022-11-08,9.99
29,2022-12-08,9.99
29,2023-01-07,9.99
29,2023-02-06,9.99
29,2023-03-08,9.99
29,2023-04-07,9.99
29,2023-05-07,9.99
29,2023-06-06,9.99
30,2022-04-05,9.99
30,2022-05-05,9.99
30,2022-06-04,9.99
30,2022-07-04,9.99
30,2022-08-03,9.99
30,2022-09-02,9.99
30,2022-10-02,9.99
30,2022-11-01,9.99
30,2022-12-01,9.99
30,2022-12-31,9.99
30,2023-01-30,9.99
30,2023-03-01,9.99
30,2023-03-31,9.99
30,2023-04-30,9.99
30,2023-05-30,9.99
30,2023-06-29,9.99
31,2022-10-29,9.99
31,2022-11-28,9.99
31,2022-12-28,9.99
31,2023-01-27,9.99
31,2023-02-26,9.99
31,2023-03-28,9.99
31,2023-04-27,9.99
31,2023-05-27,9.99
31,2023-06-26,9.99
31,2023-07-26,9.99
32,2022-09-10,15.99
32,2022-10-10,15.99
32,2022-11-09,15.99
32,2022-12-09,15.99
32,2023-01-08,15.99
32,2023-02-07,15.99
32,2023-03-09,15.99
32,2023-04-08,15.99
32,2023-05-08,15.99
32,2023-06-07,15.99
32,2023-07-07,15.99
32,2023-08-06,15.99
32,2023-09-05,15.99
32,2023-10-05,15.99
32,2023-11-04,15.99
32,2023-12-04,15.99
32,2024-01-03,15.99
32,2024-02-02,15.99
32,2024-03-03,15.99
32,2024-04-02,15.99
33,2022-08-30,9.99
33,2022-09-29,9.99
33,2022-10-29,9.99
33,2022-11-28,9.99
33,2022-12-28,9.99
33,2023-01-27,9.99
33,2023-02-26,9.99
33,2023-03-28,9.99
33,2023-04-27,9.99
33,2023-05-27,9.99
33,2023-06-26,9.99
33,2023-07-26,9.99
34,2022-02-04,19.99
34,2022-03-06,19.99
34,2022-04-05,19.99
34,2022-05-05,19.99
34,2022-06-04,19.99
34,2022-07-04,19.99
34,2022-08-03,19.99
34,2022-09-02,19.99
34,2022-10-02,19.99
34,2022-11-01,19.99
34,2022-12-01,19.99
34,2022-12-31,19.99
34,2023-01-30,19.99
34,2023-03-01,19.99
34,2023-03-31,19.99
34,2023-04-30,19.99
34,2023-05-30,19.99
34,2023-06-29,19.99
34,2023-07-29,19.99
35,2022-08-03,19.99
35,2022-09-02,19.99
35,2022-10-02,19.99
35,2022-11-01,19.99
35,2022-12-01,19.99
35,2022-12-31,19.99
35,2023-01-30,19.99
35,2023-03-01,19.99
35,2023-03-31,19.99
35,2023-04-30,19.99
35,2023-05-30,19.99
35,2023-06-29,19.99
35,2023-07-29,19.99
35,2023-08-28,19.99
35,2023-09-27,19.99
35,2023-10-27,19.99
35,2023-11-26,19.99
35,2023-12-26,19.99
35,2024-01-25,19.99
35,2024-02-24,19.99
35,2024-03-25,19.99
35,2024-04-24,19.99
35,2024-05-24,19.99
36,2022-12-03,19.99
36,2023-01-02,19.99
36,2023-02-01,19.99
36,2023-03-03,19.99
36,2023-04-02,19.99
36,2023-05-02,19.99
36,2023-06-01,19.99
36,2023-07-01,19.99
36,2023-07-31,19.99
36,2023-08-30,19.99
36,2023-09-29,19.99
36,2023-10-29,19.99
36,2023-11-28,19.99
36,2023-12-28,19.99
36,2024-01-27,19.99
36,2024-02-26,19.99
37,2022-03-31,15.99
37,2022-04-30,15.99
37,2022-05-30,15.99
37,2022-06-29,15.99
37,2022-07-29,15.99
37,2022-08-28,15.99
37,2022-09-27,15.99
37,2022-10-27,15.99
38,2022-09-21,19.99
38,2022-10-21,19.99
38,2022-11-20,19.99
38,2022-12-20,19.99
39,2022-04-03,19.99
39,2022-05-03,19.99
39,2022-06-02,19.99
39,2022-07-02,19.99
39,2022-08-01,19.99
39,2022-08-31,19.99
39,2022-09-30,19.99
39,2022-10-30,19.99
39,2022-11-29,19.99
39,2022-12-29,19.99
39,2023-01-28,19.99
39,2023-02-27,19.99
39,2023-03-29,19.99
39,2023-04-28,19.99
39,2023-05-28,19.99
39,2023-06-27,19.99
39,2023-07-27,19.99
39,2023-08-26,19.99
39,2023-09-25,19.99
40,2022-03-31,19.99
40,2022-04-30,19.99
40,2022-05-30,19.99
40,2022-06-29,19.99
40,2022-07-29,19.99
40,2022-08-28,19.99
40,2022-09-27,19.99
40,2022-10-27,19.99
40,2022-11-26,19.99
40,2022-12-26,19.99
40,2023-01-25,19.99
40,2023-02-24,19.99
40,2023-03-26,19.99
40,2023-04-25,19.99
40,2023-05-25,19.99
40,2023-06-24,19.99
40,2023-07-24,19.99
40,2023-08-23,19.99
40,2023-09-22,19.99
